Species	Antibiotic	Max_F1	Smallest_n_at_95pct	F1_at_n50	F1_at_n200	F1_at_n500	F1_at_n1000	F1_at_max_n	Max_n	Status
E. coli	chloramphenicol	0.8586478410135981	200		0.9	0.8786080586080587	0.8065387199007888	0.7937317046435011	4420	plateau
E. coli	ciprofloxacin	0.9208457380448014	500	0.7999999999999999	0.8587481146304675	0.881767924151825	0.8812793486842285	0.9181398051148644	6335	plateau
E. coli	colistin	0.9053421309872924	200	0.8533333333333333	0.8605292898316155			0.9053421309872924	323	improving
E. coli	doripenem	0.5	115	0.1				0.4995670995670995	115	improving
E. coli	ertapenem	0.8136146851976929	1000		0.1466666666666666	0.7144891640866874	0.7775899207478154	0.7991875817189805	1316	improving
E. coli	gentamicin	0.9260329025176762	200	0.6666666666666666	0.8892857142857142	0.8559879686708955	0.8613300041087137	0.9151353233058628	6032	improving
E. coli	imipenem	0.6167277167277168	573		0.3	0.5581529581529582		0.6167277167277168	573	improving
E. coli	kanamycin	0.9277122728958102	750		0.8044444444444444	0.8733660799747757	0.8779955016932506	0.906544810301616	1130	improving
E. coli	levofloxacin	0.942187078266447	50	0.9112820512820512	0.8989304186750996	0.926344795615046	0.9361367823429386	0.942187078266447	1049	improving
E. coli	nalidixic_acid	0.9256771397616468	200		0.8933333333333333	0.8791503267973855	0.8943920441739914	0.9125120805283976	4412	plateau
E. coli	nitrofurantoin	0.2173543575287761	200		0.2833333333333333			0.106766917293233	405	improving
E. coli	piperacillin_tazobactam	0.4791670684207997	not reached		0.3235353535353535	0.4093519548469492		0.4473186344238975	686	improving
E. coli	streptomycin	0.9253053858890188	300	0.8192063492063493	0.8699999999999999	0.9128818565400844	0.9030309658988036	0.9212371461635036	4190	plateau
E. coli	sulfamethoxazole	0.9705270629991126	50	0.9664335664335664				0.9626839257442108	191	plateau
E. coli	sulfisoxazole	0.9810650574114886	50	0.96	0.9623703703703704	0.9719821162444112	0.9755432862730904	0.9787489359302196	3823	plateau
E. coli	sulfonamides	0.973364144747632	50	0.9866666666666668	0.9647704666213393	0.9577416608548684	0.9711532215711076	0.973364144747632	1327	plateau
E. coli	temocillin	0.9710635769459298	50	0.96	0.9833333333333332			0.9710635769459298	302	plateau
E. coli	tetracycline	0.9714005935858034	50	0.977777777777778	0.930824268227618	0.9494908772928576	0.9524728643779063	0.9665154008203888	5032	plateau
E. coli	tobramycin	0.9380097736149892	200	0.7576190476190476	0.9053323695069426	0.9245450501846874	0.941109262664539	0.93764831631323	1299	plateau
E. coli	trimethoprim	0.9896072243098306	100		0.9942028985507246	0.9883306643891676	0.992954854941042	0.9896072243098306	1522	plateau
E. coli	trimethoprim_sulfamethoxazole	0.9337812323551924	100		0.8695238095238096	0.915147661030014	0.9049125026354627	0.9223042682752542	4955	plateau
